frame, steps, L_IAS, L_IPS, R_IAS, R_IPS, R_FLE, R_FME, R_FTC, R_FAL, R_FAX, R_TAM, R_TTC, R_FCC, R_FM1, R_FM2, R_FM5, L_FLE, L_FME, L_FTC, L_FAL, L_FAX, L_TAM, L_TTC, L_FCC, L_FM1, L_FM2, L_FM5, LV1, LV3, MAI, SXS, CV7, SJN, TV2, L_HEAD, R_HEAD, SGL, R_HLE, R_HUM, R_SAE, R_RSP, R_USP, R_HM2, L_HLE, L_HUM, L_SAE, L_RSP, L_USP, L_HM2
21, 200, 0.00613207, 0.0549587, 0.0183734, 0.056329, 0.0471457, 0.0228924, 0.0402456, 0.0187479, 0.0267424, 0.021096, 0.0429413, 0.0365215, 0.0223844, 0.0332168, 0.0255775, 0.0429093, 0.0324439, 0.0293714, 0.0221119, 0.0363485, 0.0228307, 0.0505511, 0.0360889, 0.0197688, 0.0274043, 0.0215128, 0.0249215, 0.0248763, 0.0469072, 0.0294355, 0.0402349, 0.034155, 0.0372895, 0.0270188, 0.0433085, 0.0300297, 0.0838399, 0.0635127, 0.024657, 0.0278628, 0.01796, 0.018736, 0.0753409, 0.0750743, 0.0425993, 0.0235689, 0.00972409, 0.0113565
22, 200, 0.00609813, 0.0549764, 0.0183467, 0.0562985, 0.047135, 0.0229152, 0.0402672, 0.0187537, 0.0267405, 0.0211036, 0.0429472, 0.036501, 0.0223813, 0.033239, 0.0255822, 0.0429137, 0.0324409, 0.0293664, 0.0221431, 0.0363456, 0.0228138, 0.0505489, 0.0361011, 0.019786, 0.027399, 0.021495, 0.0249049, 0.0248227, 0.0468918, 0.0294433, 0.0402292, 0.0341218, 0.0373037, 0.0270471, 0.0433122, 0.0300644, 0.0838522, 0.0635167, 0.0246395, 0.0278481, 0.0179993, 0.0187417, 0.0753402, 0.0750708, 0.0426187, 0.0235585, 0.00970249, 0.0113745
23, 200, 0.00607055, 0.0549808, 0.0183502, 0.0562763, 0.0471429, 0.0229343, 0.0402822, 0.018728, 0.0267376, 0.0210483, 0.0429585, 0.0364634, 0.0224121, 0.0332115, 0.0256468, 0.0429101, 0.0324201, 0.0293919, 0.0221348, 0.0363277, 0.0228338, 0.0505695, 0.0360984, 0.0197573, 0.0274198, 0.0214902, 0.0248591, 0.0248026, 0.0468459, 0.0295086, 0.0402385, 0.0340744, 0.0373236, 0.0270599, 0.0433036, 0.0300831, 0.0838593, 0.0635148, 0.0246199, 0.0278317, 0.0179762, 0.0187464, 0.0752658, 0.0750754, 0.0426123, 0.0235736, 0.00972529, 0.0113816
24, 200, 0.00607482, 0.0549436, 0.0182981, 0.0562932, 0.0471272, 0.02295, 0.0402785, 0.0187082, 0.026738, 0.021043, 0.0429341, 0.0364495, 0.0224361, 0.0332099, 0.0256463, 0.0429142, 0.032396, 0.0294016, 0.0220958, 0.0363264, 0.0228085, 0.0505682, 0.0360896, 0.0197697, 0.0274049, 0.0214997, 0.0248212, 0.0247835, 0.0468101, 0.0295153, 0.0402509, 0.0340428, 0.037332, 0.0270769, 0.0433215, 0.030139, 0.0838372, 0.0635065, 0.0246299, 0.0278233, 0.0180143, 0.01869, 0.0752271, 0.0750812, 0.0426023, 0.0236109, 0.0097151, 0.0113716
25, 200, 0.00606027, 0.0549463, 0.0182748, 0.0562877, 0.0470966, 0.0229496, 0.0402936, 0.0187105, 0.0267258, 0.0210801, 0.0429662, 0.0364795, 0.0223942, 0.0331936, 0.0255693, 0.0429075, 0.0323832, 0.0294036, 0.0221233, 0.0363374, 0.0228143, 0.0505893, 0.036074, 0.0197863, 0.0274164, 0.0215142, 0.0248003, 0.0247578, 0.0467555, 0.0295492, 0.0402551, 0.0340129, 0.0373817, 0.0271439, 0.0433304, 0.0301556, 0.08381, 0.0634936, 0.0246012, 0.0279158, 0.0180885, 0.0186827, 0.075225, 0.0750723, 0.0425927, 0.0236199, 0.0097219, 0.0114441
26, 200, 0.0060747, 0.0549572, 0.0182824, 0.0563269, 0.0471194, 0.0229779, 0.0402881, 0.0187064, 0.0267352, 0.0210699, 0.042943, 0.0364321, 0.0224197, 0.0332107, 0.0256448, 0.042905, 0.032354, 0.0293998, 0.0221132, 0.0363137, 0.0228371, 0.0505722, 0.0360746, 0.0197826, 0.0274219, 0.0215091, 0.0247209, 0.0247334, 0.0467268, 0.0295535, 0.0402746, 0.0339968, 0.0374019, 0.0271552, 0.0433625, 0.0302079, 0.0837668, 0.0635083, 0.0245904, 0.0279327, 0.0180773, 0.0186823, 0.0752126, 0.0750503, 0.0425918, 0.0236585, 0.00977083, 0.011449
27, 200, 0.00608001, 0.0549409, 0.018276, 0.0562696, 0.0471085, 0.0229926, 0.0403246, 0.018678, 0.0267407, 0.0210374, 0.0429619, 0.0364386, 0.0224118, 0.0332289, 0.0256403, 0.0429089, 0.0323576, 0.0294182, 0.0221238, 0.0363014, 0.0228179, 0.0505592, 0.0360904, 0.0197816, 0.0274476, 0.0215043, 0.0246666, 0.0247076, 0.0466845, 0.0295331, 0.0402372, 0.0339841, 0.0373729, 0.0272265, 0.0437762, 0.0301744, 0.0837584, 0.0635215, 0.0245931, 0.0279556, 0.0181024, 0.0186577, 0.0752377, 0.0750507, 0.0426042, 0.0237019, 0.00977954, 0.0114882
28, 200, 0.00608063, 0.0549761, 0.0182833, 0.0562922, 0.0471077, 0.0229911, 0.0403327, 0.0186857, 0.026736, 0.0210565, 0.0429577, 0.0364408, 0.0224333, 0.0332161, 0.0256305, 0.0429072, 0.032338, 0.0293962, 0.0221207, 0.0362949, 0.0227944, 0.0505754, 0.0361075, 0.0197824, 0.0274381, 0.0215141, 0.0246868, 0.0246935, 0.0466525, 0.0295484, 0.0402808, 0.0339301, 0.0374593, 0.0272406, 0.0434003, 0.0302482, 0.083733, 0.0635185, 0.0245624, 0.0279129, 0.0181061, 0.0186906, 0.075197, 0.0750079, 0.0425634, 0.0237299, 0.00979843, 0.0114794
29, 200, 0.0061273, 0.0548653, 0.0183208, 0.056329, 0.0470877, 0.0229804, 0.0403286, 0.0187041, 0.0267317, 0.0210852, 0.0429579, 0.0364771, 0.0223865, 0.033218, 0.0255577, 0.0429179, 0.032353, 0.0293808, 0.0221093, 0.0362508, 0.022815, 0.0505623, 0.0360986, 0.0197642, 0.0274517, 0.0215406, 0.0246405, 0.0247137, 0.0466523, 0.0295119, 0.0402927, 0.0338973, 0.0374593, 0.0273004, 0.0434059, 0.0303446, 0.0837354, 0.0635112, 0.0245543, 0.0279326, 0.0180984, 0.0187214, 0.0751561, 0.0749973, 0.0425498, 0.0237709, 0.00987439, 0.0115099
30, 200, 0.00614179, 0.0548947, 0.0183628, 0.0563048, 0.0470949, 0.022974, 0.0403366, 0.0187013, 0.0267251, 0.0210488, 0.0429742, 0.0364874, 0.0223823, 0.0332063, 0.0255536, 0.0429171, 0.0323587, 0.0293993, 0.0221298, 0.036233, 0.0228253, 0.0505501, 0.0361237, 0.0197952, 0.0274529, 0.0215288, 0.024644, 0.0247185, 0.0465993, 0.0294877, 0.0403073, 0.0338345, 0.0375039, 0.0273393, 0.0433972, 0.0304753, 0.0836848, 0.0635383, 0.0245658, 0.0279652, 0.0181005, 0.0187483, 0.0751437, 0.0749713, 0.0425216, 0.0238253, 0.00994101, 0.0115838
